,DNA,CI,CII,CIII,CIV,AOX,ATP Synthase,SCS,ASCT,Malic Enzyme,PDH,PFO,PNO,Fumarate Reductase,Hydrogenase,Amino Acid Metabolism,Lipid Metabolism,IscU/IscS,NifS/NifU,SufCB,Hsp70,Cpn60,Cpn10,Tom40,Sam50,Tim9/10,Tim17/22/23,Tim50,Pam18,Pam16,,
Saccharomyces cerevisiae,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),"T. Makiuchi, T. Nozaki / Biochimie 100 (2014)",Sickmann et al. 2003 10.1073/pnas.2135385100,Sickmann et al. 2003 10.1073/pnas.2135385101,Sickmann et al. 2003 10.1073/pnas.2135385102,Sickmann et al. 2003 10.1073/pnas.2135385103,Sickmann et al. 2003 10.1073/pnas.2135385104,"Horner et al., Mol Biol Evol. 1999 Sep;16(9):1280-91.",,"Camarasa et al., Yeast 2007 24(5)",,"T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",,,,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,
Trypanosoma brucei,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,"Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",,"Schlüter et al., Biochim Biophys Acta. 2000 Apr 25;1491(1-3):65-74.","Schlüter et al., Biochim Biophys Acta. 2000 Apr 25;1491(1-3):65-74.","Pusnik et al., Mol Biol Evol. 2009 Mar;26(3):671-80","Schneider et al., Trends Curr Biol 18(1) 2008","Schneider et al., Trends Curr Biol 18(1) 2009","Schneider et al., Trends Curr Biol 18(1) 2010","Schneider et al., Trends Curr Biol 18(1) 2011","Schneider et al., Trends Curr Biol 18(1) 2012","Schneider et al., Trends Curr Biol 18(1) 2013",,
Cyptosporidium muris,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,,,,,,,,,"T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",Uniprot,Uniprot,Uniprot,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,
Euglena gracilis,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,,,,,,,,,"T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",Uniprot,Uniprot,X,X,X,X,X,X,X,X,,
Chlamydomonas reinhardtii,"Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",,,,"Figueroa-Martínez et al.,  Genetics 179(1): 2008","Figueroa-Martínez et al.,  Genetics 179(1): 2009","Figueroa-Martínez et al.,  Genetics 179(1): 2010","Figueroa-Martínez et al.,  Genetics 179(1): 2011","Figueroa-Martínez et al.,  Genetics 179(1): 2012","Figueroa-Martínez et al.,  Genetics 179(1): 2013","Figueroa-Martínez et al.,  Genetics 179(1): 2014",,
Blastocystis hominis,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),"Stechmann et al., Curr Biol 2008 18(8)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","Muller et al., Microbiol. Mol. Biol. Rev. 2012, 76(2)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Tasousis et al., PNAS 2012 109(26)","Tasousis et al., PNAS 2012 109(26)","Tasousis et al., PNAS 2012 109(26)",Uniprot,Uniprot,Uniprot,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,
Nyctotherus ovalis,"De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2391","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2390","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2389","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2388","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2387","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2386","De Graaf et al., Mol Biol Evol (2011) 28 (8): 2379-2385",,
Pygsuia biforma,"Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",,"Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue",,
Neocallimastix frontalis,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,,,,,,,,,"T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)",,"Stairs et al,.  Current Biology Current Issue","Stairs et al,.  Current Biology Current Issue","Hjort et al., Phil Trans Roy Soc 2010 365(1541) 2010","Hjort et al., Phil Trans Roy Soc 2010 365(1541) 2010","Hjort et al., Phil Trans Roy Soc 2010 365(1541) 2010",X,X,X,X,X,X,X,,
Mastigamoeba balamuthi,Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,Makiuchi & Nozaki Biochimie 100 (2014),"Gill et al., Molecular Microbiology (2007) 66(6), 1306–1320","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1321","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1322","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1323","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1324","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1325","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1326","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1327","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1328","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","T. Makiuchi, T. Nozaki / Biochimie 100 (2014)","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1321","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1322",,Makiuchi & Nozaki Biochimie 100 (2014),"Gill et al., Molecular Microbiology (2007) 66(6), 1306–1323","Gill et al., Molecular Microbiology (2007) 66(6), 1306–1323",Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),Makiuchi & Nozaki Biochimie 100 (2014),,
